['snr_ice_x_t8', 0.788888888888889]
['snr_itke2_x_t8', 0.7644444444444447]
['robustRange_x_vel_on_t8', 0.7555555555555558]
['robustRange_x_vel_on_t8', 0.748888888888889]
['x_renyi2_i2_t8', 0.7400000000000004]
['percentiles99_x_vel_on_t8', 0.7266666666666669]
['arithMean_x_acc_off_t8', 0.7222222222222224]
['snr_tke2_x_t8', 0.7155555555555557]
['snr_itke1_x_t8', 0.7111111111111115]
['stdDevs_x_vel_on_t8', 0.7066666666666669]
['stdDevs_x_acc_off_t8', 0.7066666666666669]
['trimMean5_y_acc_on_t8', 0.7044444444444449]
['arithMean_y_acc_on_t8', 0.7000000000000004]
['stdDevs_x_vel_off_t8', 0.6933333333333337]
['x_renyi3_i2_t8', 0.6888888888888894]
['stdDevs_vel_off_t8', 0.6822222222222226]
['stdDevs_acc_off_t8', 0.6822222222222226]
['arithMean_x_jerk_off_t8', 0.6822222222222226]
['arithMean_acc_off_t8', 0.6822222222222224]
['trimMean10_y_acc_on_t8', 0.6800000000000003]
['snr_tke1_x_t8', 0.6800000000000002]
['stdDevs_strokespeed_t8', 0.6733333333333337]
['stdDevs_x_vel_on_t8', 0.6733333333333336]
['arithMean_vel_off_t8', 0.6733333333333336]
['moments5_x_vel_on_t8', 0.6711111111111115]
['interQuartiles_strokespeed_t8', 0.6688888888888894]
['arithMean_x_vel_off_t8', 0.6688888888888894]
['moments4_vel_on_t8', 0.6622222222222226]
['trimMean20_y_acc_on_t8', 0.6577777777777782]
['robustRange_vel_on_t8', 0.6533333333333339]
['moments4_acc_off_t8', 0.6533333333333338]
['moments5_x_jerk_on_t8', 0.6533333333333338]
['moments3_jerk_off_t8', 0.6533333333333335]
['stdDevs_x_jerk_off_t8', 0.6488888888888893]
['moments6_x_jerk_on_t8', 0.6488888888888893]
['arithMean_y_vel_on_t8', 0.648888888888889]
['stdDevs_x_jerk_on_t8', 0.646666666666667]
['stdDevs_jerk_off_t8', 0.646666666666667]
['snr_ce_x_t8', 0.646666666666667]
['arithMean_jerk_off_t8', 0.644444444444445]
['percentiles95_x_vel_on_t8', 0.6444444444444447]
['trimMean5_x_vel_on_t8', 0.6444444444444446]
['stdDevs_x_acc_on_t8', 0.6422222222222227]
['geoMean_y_vel_on_t8', 0.6422222222222226]
['moments4_x_vel_off_t8', 0.6422222222222226]
['trimMean20_x_acc_on_t8', 0.6422222222222226]
['moments3_x_jerk_on_t8', 0.6422222222222226]
['percentiles90_y_jerk_on_t8', 0.6422222222222225]
['snr_ce_y_t8', 0.6400000000000005]
['moments6_jerk_off_t8', 0.6400000000000005]
['percentiles1_pressure_rate_t8', 0.6400000000000005]
['moments4_jerk_off_t8', 0.6400000000000002]
['trimMean40_y_acc_on_t8', 0.6400000000000002]
['percentiles95_y_acc_on_t8', 0.6377777777777781]
['trimMean20_y_vel_on_t8', 0.6355555555555561]
['percentiles95_y_vel_on_t8', 0.6355555555555561]
['moments4_strokespeed_t8', 0.6355555555555558]
['trimMean5_strokespeed_t8', 0.6333333333333337]
['moments4_jerk_on_t8', 0.6311111111111116]
['moments4_x_jerk_on_t8', 0.6311111111111116]
['arithMean_jerk_on_t8', 0.6311111111111114]
['moments5_x_acc_off_t8', 0.6311111111111112]
['ranges_x_vel_on_t8', 0.6288888888888893]
['kurto_x_jerk_on_t8', 0.6288888888888892]
