['snr_ice_x_t8', 0.74375]
['snr_ce_x_t8', 0.7333214285714286]
['snr_itke2_x_t8', 0.6944285714285712]
['x_renyi3_i2_t8', 0.6775714285714285]
['snr_itke1_x_t8', 0.675642857142857]
['x_shannon_i1_t8', 0.66675]
['x_renyi2_i2_t8', 0.6661785714285713]
['snr_tke1_x_t8', 0.6587857142857141]
['x_renyi3_t8', 0.6556071428571428]
['snr_tke2_x_t8', 0.6540714285714286]
['snr_ce_y_t8', 0.650392857142857]
['robustRange_x_vel_on_t8', 0.649392857142857]
['percentiles99_x_vel_on_t8', 0.6484642857142855]
['x_renyi3_i1_t8', 0.6469285714285714]
['x_shannon_i2_t8', 0.6456428571428571]
['robustRange_x_vel_on_t8', 0.6450000000000001]
['x_renyi2_i1_t8', 0.6445714285714286]
['percentiles95_x_vel_on_t8', 0.6433928571428572]
['percentiles20_acc_on_t8', 0.6406428571428571]
['stdDevs_x_vel_on_t8', 0.6347857142857142]
['stdDevs_x_vel_on_t8', 0.6341428571428571]
['trimMean30_x_vel_on_t8', 0.6326785714285714]
['trimMean20_x_vel_on_t8', 0.6310357142857144]
['trimMean40_x_vel_on_t8', 0.6302857142857142]
['percentiles90_x_vel_on_t8', 0.6299999999999998]
['trimMean40_acc_on_t8', 0.6294642857142856]
['rel_NCV_on_t8', 0.6287857142857144]
['percentiles95_x_jerk_on_t8', 0.6259285714285713]
['trimMean10_x_vel_on_t8', 0.6245]
['x_renyi2_t8', 0.6226785714285714]
['trimMean40_x_acc_on_t8', 0.6224999999999998]
['stdDevs_x_vel_off_t8', 0.6167142857142855]
['snr_ice_y_t8', 0.6163214285714288]
['trimMean20_vel_on_t8', 0.6152857142857141]
['medians_vel_on_t8', 0.6151785714285711]
['trimMean30_vel_on_t8', 0.6146071428571428]
['arithMean_x_vel_on_t8', 0.6140714285714285]
['trimMean10_vel_on_t8', 0.6140000000000001]
['arithMean_x_vel_off_t8', 0.6136428571428572]
['ranges_x_vel_on_t8', 0.6133928571428572]
['geoMean_x_jerk_on_t8', 0.6129285714285715]
['trimMean40_vel_on_t8', 0.612642857142857]
['trimMean5_x_vel_on_t8', 0.6120357142857143]
['stdDevs_x_acc_off_t8', 0.6113214285714285]
['arithMean_x_vel_on_t8', 0.6109285714285714]
['trimMean5_x_acc_on_t8', 0.6105714285714287]
['trimMean20_acc_on_t8', 0.6098214285714287]
['trimMean40_y_acc_on_t8', 0.6093214285714287]
['trimMean10_x_acc_on_t8', 0.6082142857142856]
['robustRange_x_vel_off_t8', 0.6078214285714284]
