['robustRange_y_jerk_off_t3', 0.7866666666666668]
['arithMean_acc_off_t3', 0.7711111111111112]
['percentiles99_y_jerk_off_t3', 0.7711111111111112]
['arithMean_jerk_off_t3', 0.7666666666666667]
['robustRange_vel_off_t3', 0.757777777777778]
['arithMean_x_jerk_off_t3', 0.7533333333333333]
['arithMean_x_acc_off_t3', 0.7466666666666667]
['robustRange_jerk_off_t3', 0.7400000000000001]
['geoMean_y_jerk_off_t3', 0.7333333333333336]
['stdDevs_jerk_off_t3', 0.7333333333333334]
['percentiles99_y_acc_off_t3', 0.7288888888888893]
['percentiles99_jerk_off_t3', 0.7244444444444449]
['percentiles95_jerk_off_t3', 0.7200000000000003]
['robustRange_acc_off_t3', 0.7177777777777782]
['percentiles99_x_acc_off_t3', 0.7155555555555558]
['stdDevs_vel_off_t3', 0.7155555555555557]
['percentiles99_x_jerk_off_t3', 0.7111111111111112]
['robustRange_x_acc_off_t3', 0.7088888888888892]
['arithMean_y_jerk_off_t3', 0.706666666666667]
['percentiles99_vel_off_t3', 0.706666666666667]
['percentiles95_y_jerk_off_t3', 0.7022222222222223]
['stdDevs_acc_off_t3', 0.697777777777778]
['arithMean_vel_off_t3', 0.6911111111111115]
['percentiles90_jerk_off_t3', 0.684444444444445]
['stdDevs_x_acc_off_t3', 0.6844444444444449]
['arithMean_y_acc_off_t3', 0.6844444444444447]
['robustRange_y_acc_off_t3', 0.6822222222222224]
['moments6_vel_off_t3', 0.6822222222222224]
['percentiles95_acc_off_t3', 0.6800000000000004]
['stdDevs_y_acc_off_t3', 0.6777777777777781]
['robustRange_x_jerk_off_t3', 0.677777777777778]
['stdDevs_y_jerk_off_t3', 0.677777777777778]
['percentiles99_acc_off_t3', 0.675555555555556]
['percentiles95_y_acc_off_t3', 0.6755555555555559]
['moments5_vel_off_t3', 0.6733333333333339]
['kurto_y_vel_on_t3', 0.6666666666666669]
['interQuartiles_jerk_off_t3', 0.6600000000000005]
['stdDevs_x_vel_off_t3', 0.6577777777777781]
['moments6_jerk_off_t3', 0.6577777777777781]
['moments6_y_acc_off_t3', 0.6577777777777781]
['moments3_vel_off_t3', 0.655555555555556]
['percentiles99_x_vel_off_t3', 0.6555555555555559]
['stdDevs_x_jerk_off_t3', 0.6533333333333338]
['moments4_vel_off_t3', 0.6488888888888893]
['moments6_y_vel_off_t3', 0.6488888888888893]
['moments5_x_acc_off_t3', 0.644444444444445]
['moments3_vel_on_t3', 0.6444444444444447]
['stdDevs_y_vel_off_t3', 0.6355555555555561]
['trimMean5_x_jerk_off_t3', 0.635555555555556]
['moments6_x_jerk_off_t3', 0.6355555555555559]
['moments5_jerk_off_t3', 0.6333333333333335]
['moments3_y_vel_off_t3', 0.6333333333333335]
['medians_x_acc_off_t3', 0.6244444444444447]
['moments4_jerk_off_t3', 0.6244444444444447]
['moments5_y_vel_off_t3', 0.6244444444444447]
['moments4_x_jerk_off_t3', 0.6222222222222226]
['moments4_x_vel_off_t3', 0.6222222222222225]
['moments6_acc_off_t3', 0.6200000000000003]
['moments3_x_vel_off_t3', 0.6200000000000003]
['moments5_pressure_rate_t3', 0.6177777777777782]
['trimMean5_jerk_off_t3', 0.6155555555555559]
['geoMean_y_acc_off_t3', 0.6133333333333337]
['moments3_acc_off_t3', 0.6133333333333336]
['moments4_y_vel_off_t3', 0.6133333333333336]
['moments5_y_acc_off_t3', 0.6111111111111115]
['moments5_x_vel_off_t3', 0.6111111111111112]
['percentiles90_acc_off_t3', 0.6088888888888893]
['trimMean10_x_jerk_off_t3', 0.6088888888888893]
['moments4_pressure_rate_t3', 0.606666666666667]
['moments3_x_jerk_off_t3', 0.6066666666666669]
['robustRange_x_vel_off_t3', 0.6066666666666667]
['moments3_jerk_off_t3', 0.6066666666666667]
