['snr_ice_x_t8', 0.7533333333333333]
['snr_ce_x_t8', 0.7026666666666672]
['snr_itke2_x_t8', 0.7013333333333338]
['x_renyi3_i2_t8', 0.6773333333333337]
['x_renyi2_i1_t8', 0.6760000000000004]
['ranges_x_vel_on_t8', 0.6693333333333338]
['moments5_x_vel_on_t8', 0.6666666666666672]
['moments6_x_vel_on_t8', 0.6653333333333336]
['snr_itke1_x_t8', 0.6573333333333338]
['x_shannon_i1_t8', 0.6560000000000004]
['robustRange_x_vel_on_t8', 0.6533333333333338]
['robustRange_x_vel_on_t8', 0.6520000000000005]
['snr_tke2_x_t8', 0.6453333333333338]
['percentiles99_x_vel_on_t8', 0.644]
['snr_ce_y_t8', 0.6426666666666669]
['percentiles99_x_vel_off_t8', 0.6360000000000002]
['snr_tke1_x_t8', 0.6333333333333337]
['percentiles20_acc_on_t8', 0.6320000000000003]
['x_shannon_i2_t8', 0.6306666666666669]
['x_renyi3_t8', 0.6240000000000004]
['x_renyi3_i1_t8', 0.6226666666666673]
['percentiles95_x_vel_on_t8', 0.6226666666666669]
['stdDevs_x_vel_on_t8', 0.6200000000000004]
['ranges_x_vel_on_t8', 0.6200000000000003]
['trimMean40_x_vel_on_t8', 0.6186666666666671]
['stdDevs_x_jerk_off_t8', 0.6133333333333337]
['rel_NCV_on_t8', 0.6106666666666671]
['stdDevs_x_vel_on_t8', 0.6066666666666669]
['trimMean5_x_acc_on_t8', 0.6066666666666669]
['x_renyi2_i2_t8', 0.6053333333333337]
['percentiles99_vel_off_t8', 0.6026666666666668]
['geoMean_x_jerk_on_t8', 0.6000000000000002]
['stdDevs_strokespeed_t8', 0.5986666666666669]
['arithMean_x_vel_on_t8', 0.5973333333333337]
['stdDevs_x_vel_off_t8', 0.594666666666667]
['x_renyi2_t8', 0.594666666666667]
['robustRange_vel_off_t8', 0.5933333333333335]
['stdDevs_x_acc_off_t8', 0.5933333333333335]
['percentiles95_x_jerk_on_t8', 0.5920000000000004]
['moments3_strokespeed_t8', 0.5893333333333337]
['percentiles99_y_acc_off_t8', 0.5880000000000001]
['arithMean_jerk_on_t8', 0.5853333333333336]
['trimMean10_x_acc_on_t8', 0.5853333333333335]
['percentiles99_y_jerk_off_t8', 0.5813333333333336]
['trimMean10_x_vel_on_t8', 0.5786666666666672]
['robustRange_y_jerk_off_t8', 0.578666666666667]
['moments3_x_vel_on_t8', 0.578666666666667]
['arithMean_x_vel_on_t8', 0.5786666666666669]
['arithMean_x_jerk_on_t8', 0.5773333333333336]
['medians_vel_on_t8', 0.5773333333333335]
