["'x_renyi3_t8'", 0.8553333333333336]
["'y_renyi3_i2_t6'", 0.7998333333333331]
["'x_renyi2_t8'", 0.7853333333333332]
["'x_renyi3_i2_t8'", 0.7823333333333331]
["'x_renyi2_i2_t8'", 0.7791666666666663]
["'percentiles25_vel_on_t8'", 0.7783333333333333]
["'y_renyi2_i2_t6'", 0.7763333333333332]
["'y_renyi2_i1_t8'", 0.7711666666666664]
["'percentiles20_acc_on_t8'", 0.7470000000000002]
["'stdDevs_strokespeed_t8'", 0.7288333333333336]
["'percentiles10_vel_on_t8'", 0.7240000000000002]
["'percentiles20_x_vel_off_t8'", 0.7233333333333337]
["'modes_x_vel_on_t6'", 0.7231666666666667]
["'modes_x_vel_on_t6'", 0.7228333333333335]
["'x_shannon_t8'", 0.7206666666666667]
["'percentiles20_x_vel_on_t4'", 0.7203333333333335]
["'trimMean40_y_vel_on_t6'", 0.7156666666666667]
["'percentiles90_strokespeed_t8'", 0.7156666666666665]
["'x_renyi2_i1_t8'", 0.7146666666666667]
["'moments5_x_vel_on_t8'", 0.7136666666666666]
["'percentiles95_vel_off_t3'", 0.712166666666667]
["'percentiles30_vel_on_t8'", 0.7088333333333334]
["'trimMean30_vel_on_t8'", 0.7086666666666666]
["'kurto_y_vel_on_t3'", 0.7086666666666664]
["'trimMean20_vel_on_t8'", 0.7081666666666664]
["'medians_vel_on_t8'", 0.7075000000000001]
["'interQuartiles_x_vel_off_t8'", 0.7073333333333336]
["'interQuartiles_strokespeed_t8'", 0.7070000000000001]
["'percentiles99_y_jerk_off_t8'", 0.7051666666666668]
["'x_renyi3_i1_t8'", 0.7038333333333334]
["'trimMean40_vel_on_t8'", 0.7038333333333331]
["'kurto_vel_on_t3'", 0.7018333333333334]
["'robustRange_y_acc_off_t8'", 0.6996666666666669]
["'robustRange_y_jerk_off_t8'", 0.6988333333333333]
["'percentiles99_y_acc_off_t8'", 0.6978333333333337]
["'medians_x_vel_on_t6'", 0.696333333333333]
["'percentiles30_y_vel_off_t2'", 0.6954999999999997]
["'medians_vel_on_t6'", 0.6951666666666665]
["'percentiles30_x_vel_on_t8'", 0.695]
["'rel_NCA_on_t8'", 0.6948333333333333]
["'medians_y_acc_on_t8'", 0.6941666666666666]
["'medians_x_vel_on_t6'", 0.6934999999999998]
["'percentiles25_x_vel_on_t6'", 0.6925]
["'percentiles30_x_vel_on_t6'", 0.6918333333333332]
["'trimMean30_y_vel_on_t6'", 0.6918333333333331]
["'trimMean20_pressure_rate_t6'", 0.6916666666666665]
["'percentiles30_strokespeed_t8'", 0.6886666666666668]
["'trimMean5_x_vel_off_t8'", 0.6871666666666666]
["'percentiles25_strokespeed_t6'", 0.6861666666666667]
["'trimMean10_vel_on_t8'", 0.6846666666666666]
["'trimMean10_x_vel_off_t8'", 0.6835000000000001]
["'medians_y_vel_on_t6'", 0.6826666666666664]
["'trimMean40_vel_on_t6'", 0.6816666666666669]
["'trimMean20_y_vel_on_t6'", 0.6816666666666669]
["'medians_pressure_rate_t7'", 0.6816666666666668]
["'y_renyi3_t8'", 0.681166666666667]
["'trimMean40_y_vel_on_t8'", 0.6798333333333333]
["'y_renyi3_i1_t8'", 0.6785]
["'trimMean30_x_vel_on_t8'", 0.6781666666666668]
["'trimMean30_y_vel_on_t8'", 0.6780000000000003]
["'trimMean5_vel_on_t8'", 0.6771666666666668]
["'trimMean20_y_vel_on_t8'", 0.677]
["'trimMean10_y_vel_on_t8'", 0.6748333333333332]
["'trimMean40_x_vel_on_t8'", 0.6746666666666666]
["'trimMean20_x_vel_on_t8'", 0.6735000000000001]
["'percentiles20_vel_on_t8'", 0.6731666666666668]
["'percentiles95_x_vel_off_t3'", 0.6730000000000002]
["'trimMean20_vel_on_t6'", 0.6725]
["'trimMean30_vel_on_t6'", 0.6720000000000002]
["'robustRange_x_vel_off_t7'", 0.6716666666666667]
["'trimMean5_y_vel_on_t8'", 0.67]
["'percentiles99_x_vel_off_t7'", 0.6698333333333334]
["'robustRange_x_vel_off_t8'", 0.6696666666666666]
["'medians_x_acc_on_t8'", 0.6685000000000003]
["'moments6_x_vel_on_t8'", 0.6683333333333334]
["'robustRange_strokespeed_t8'", 0.6679999999999998]
["'percentiles30_acc_on_t8'", 0.6678333333333335]
["'interQuartiles_x_acc_off_t3'", 0.6670000000000005]
["'geoMean_vel_on_t8'", 0.6666666666666669]
["'trimMean10_y_vel_on_t6'", 0.6638333333333332]
["'medians_pressure_rate_t6'", 0.6625000000000001]
["'ranges_strokespeed_t8'", 0.6603333333333333]
["'percentiles99_x_vel_off_t8'", 0.6603333333333333]
["'arithMean_x_vel_on_t8'", 0.6580000000000001]
["'y_renyi2_t8'", 0.6579999999999999]
["'trimMean10_x_vel_on_t8'", 0.6579999999999999]
["'percentiles95_y_acc_on_t8'", 0.657166666666667]
["'trimMean10_vel_on_t6'", 0.6570000000000001]
