["'snr_ice_x_t2'", 0.7839999999999996]
["'arithMean_x_acc_off_t3'", 0.7769999999999997]
["'y_shannon_i1_t6'", 0.7761666666666664]
["'arithMean_x_jerk_off_t3'", 0.7561666666666664]
["'arithMean_acc_off_t3'", 0.7438333333333331]
["'robustRange_vel_off_t3'", 0.7428333333333335]
["'percentiles99_x_vel_off_t3'", 0.7416666666666667]
["'percentiles99_vel_off_t3'", 0.7413333333333335]
["'robustRange_x_vel_off_t3'", 0.7405000000000002]
["'ranges_x_jerk_off_t2'", 0.7398333333333333]
["'ranges_x_vel_off_t2'", 0.7340000000000001]
["'arithMean_jerk_off_t3'", 0.7315]
["'ranges_x_acc_off_t2'", 0.7303333333333335]
["'y_renyi3_i1_t6'", 0.7276666666666667]
["'y_renyi2_i1_t6'", 0.7241666666666667]
["'ranges_jerk_off_t2'", 0.7131666666666666]
["'robustRange_x_jerk_off_t3'", 0.7131666666666665]
["'percentiles99_x_jerk_off_t3'", 0.7119999999999999]
["'stdDevs_x_vel_off_t2'", 0.7111666666666665]
["'ranges_acc_off_t2'", 0.7083333333333335]
["'stdDevs_x_acc_off_t2'", 0.7063333333333333]
["'moments4_x_vel_off_t3'", 0.7033333333333333]
["'ranges_vel_off_t2'", 0.703]
["'percentiles99_jerk_off_t3'", 0.7028333333333332]
["'stdDevs_x_jerk_off_t2'", 0.7026666666666666]
["'rel_NCV_off_t2'", 0.7021666666666664]
["'snr_itke1_x_t2'", 0.6998333333333333]
["'x_renyi3_i2_t2'", 0.6993333333333335]
["'moments4_x_acc_off_t3'", 0.6993333333333333]
["'moments5_vel_off_t3'", 0.699]
["'robustRange_jerk_off_t3'", 0.6988333333333331]
["'moments3_x_jerk_off_t2'", 0.6981666666666668]
["'stdDevs_vel_off_t3'", 0.6963333333333332]
["'moments5_acc_off_t3'", 0.6961666666666665]
["'stdDevs_vel_off_t2'", 0.6953333333333334]
["'moments4_x_jerk_off_t3'", 0.695]
["'moments3_x_jerk_off_t3'", 0.6948333333333333]
["'stdDevs_jerk_off_t2'", 0.6944999999999998]
["'percentiles25_x_vel_on_t6'", 0.6938333333333331]
["'moments3_jerk_off_t3'", 0.6935000000000001]
["'robustRange_x_acc_off_t3'", 0.693]
["'moments3_x_acc_off_t2'", 0.6928333333333334]
["'moments3_x_vel_off_t2'", 0.6920000000000001]
["'ranges_x_vel_off_t3'", 0.6918333333333334]
["'moments3_acc_off_t3'", 0.6915]
["'moments3_vel_off_t2'", 0.690333333333333]
["'ranges_x_acc_off_t3'", 0.690333333333333]
["'stdDevs_x_vel_off_t3'", 0.6900000000000002]
["'moments4_jerk_off_t3'", 0.6898333333333331]
["'moments3_vel_off_t3'", 0.6895000000000002]
["'moments3_x_acc_off_t3'", 0.6893333333333334]
["'snr_itke2_x_t2'", 0.6893333333333332]
["'moments3_acc_off_t2'", 0.6893333333333332]
["'moments5_jerk_off_t3'", 0.6893333333333332]
["'moments3_jerk_off_t2'", 0.6889999999999997]
["'stdDevs_acc_off_t2'", 0.6884999999999999]
["'moments3_y_jerk_off_t2'", 0.6878333333333333]
["'ranges_x_jerk_off_t3'", 0.6876666666666668]
["'percentiles99_x_acc_off_t3'", 0.6874999999999999]
["'geoMean_jerk_off_t6'", 0.6871666666666667]
["'stdDevs_acc_off_t3'", 0.6865000000000001]
["'moments3_x_vel_off_t3'", 0.6855000000000001]
["'stdDevs_jerk_off_t3'", 0.6846666666666664]
["'rel_NCV_on_t7'", 0.6838333333333335]
["'snr_ice_x_t8'", 0.6821666666666667]
["'rel_NCV_off_t4'", 0.6796666666666666]
["'moments4_vel_off_t3'", 0.6793333333333331]
["'percentiles99_acc_off_t3'", 0.6780000000000002]
["'x_renyi3_i1_t2'", 0.677666666666667]
["'moments4_acc_off_t3'", 0.6768333333333332]
["'moments4_y_jerk_off_t2'", 0.6755000000000004]
["'robustRange_acc_off_t3'", 0.6753333333333336]
["'percentiles95_x_vel_off_t2'", 0.6751666666666668]
["'moments4_vel_off_t2'", 0.6743333333333333]
["'arithMean_x_jerk_off_t2'", 0.6736666666666664]
["'stdDevs_x_jerk_off_t3'", 0.6733333333333333]
["'stdDevs_x_acc_off_t3'", 0.672666666666667]
["'moments4_jerk_off_t2'", 0.6714999999999999]
