["'snr_ice_x_t8'", 0.7826071428571428]
["'snr_ce_x_t8'", 0.733392857142857]
["'moments5_x_vel_on_t8'", 0.7237857142857141]
["'x_shannon_i1_t8'", 0.7046071428571432]
["'x_shannon_i1_t2'", 0.7040357142857141]
["'snr_itke2_x_t8'", 0.7031785714285712]
["'x_renyi2_i1_t2'", 0.7019642857142854]
["'moments3_x_vel_off_t2'", 0.7015714285714284]
["'x_shannon_i2_t8'", 0.6995357142857144]
["'x_renyi3_t8'", 0.6967857142857143]
["'moments6_x_vel_on_t8'", 0.6959999999999998]
["'x_renyi2_i1_t8'", 0.6952142857142856]
["'x_shannon_i2_t2'", 0.6921785714285714]
["'robustRange_x_vel_on_t8'", 0.6910000000000001]
["'percentiles99_x_vel_on_t8'", 0.690464285714286]
["'snr_itke1_x_t8'", 0.687642857142857]
["'robustRange_x_vel_on_t8'", 0.6861785714285715]
["'x_renyi3_i1_t8'", 0.685535714285714]
["'x_shannon_i2_t3'", 0.6819642857142857]
["'arithMean_acc_off_t3'", 0.6816428571428571]
["'trimMean30_x_acc_on_t6'", 0.6812500000000001]
["'snr_ce_y_t8'", 0.6810714285714287]
["'percentiles95_x_vel_on_t8'", 0.6804642857142853]
["'ranges_x_vel_on_t8'", 0.6776428571428571]
["'x_renyi3_i2_t2'", 0.677]
["'x_renyi3_i1_t2'", 0.6760714285714284]
["'ranges_x_vel_on_t8'", 0.67475]
["'x_renyi3_i2_t8'", 0.6740714285714288]
["'arithMean_x_acc_off_t3'", 0.6738571428571427]
["'arithMean_x_vel_off_t3'", 0.673607142857143]
["'trimMean20_x_acc_on_t6'", 0.6726071428571428]
["'arithMean_jerk_off_t3'", 0.6722142857142858]
["'moments3_x_acc_off_t2'", 0.6704285714285715]
["'arithMean_x_jerk_off_t3'", 0.6701428571428572]
["'snr_tke2_x_t8'", 0.6691428571428569]
["'x_renyi2_i2_t8'", 0.6689285714285714]
["'trimMean40_x_acc_on_t6'", 0.6666785714285715]
["'robustRange_x_jerk_off_t3'", 0.6663928571428572]
["'percentiles99_x_jerk_off_t3'", 0.6663571428571429]
["'percentiles95_x_acc_on_t6'", 0.6661785714285715]
["'x_renyi2_i2_t2'", 0.6657142857142858]
["'rel_NCV_on_t8'", 0.665107142857143]
["'moments3_x_jerk_off_t2'", 0.6647142857142857]
["'moments3_vel_off_t2'", 0.6632500000000001]
["'robustRange_x_acc_off_t3'", 0.6628571428571429]
["'stdDevs_x_vel_off_t2'", 0.6617142857142859]
["'trimMean10_x_acc_on_t6'", 0.6613928571428572]
["'percentiles99_x_acc_off_t3'", 0.661]
["'stdDevs_x_vel_on_t8'", 0.660892857142857]
["'ranges_pressure_rate_t1'", 0.6607500000000002]
["'percentiles1_strokespeed_t3'", 0.6596428571428572]
["'snr_tke1_x_t8'", 0.6588571428571427]
["'stdDevs_x_vel_on_t8'", 0.6583571428571429]
["'rel_NCV_on_t7'", 0.6580714285714285]
["'stdDevs_jerk_off_t2'", 0.6579285714285713]
["'percentiles5_strokespeed_t3'", 0.6578214285714288]
["'modes_strokespeed_t3'", 0.6564642857142857]
["'stdDevs_x_jerk_off_t2'", 0.6557142857142857]
["'percentiles90_x_acc_off_t3'", 0.6552857142857142]
["'trimMean10_x_acc_on_t8'", 0.653892857142857]
["'stdDevs_vel_off_t2'", 0.6536785714285714]
["'moments3_x_vel_on_t7'", 0.6517499999999999]
["'arithMean_acc_off_t2'", 0.6517142857142857]
["'moments5_vel_off_t2'", 0.6517142857142857]
["'trimMean5_x_acc_on_t8'", 0.6517142857142857]
["'trimMean5_jerk_on_t8'", 0.6502499999999999]
["'stdDevs_vel_off_t3'", 0.6496428571428571]
["'stdDevs_x_acc_off_t2'", 0.6493214285714284]
["'x_shannon_i1_t3'", 0.6485714285714288]
["'x_renyi3_i1_t1'", 0.6476071428571427]
["'x_renyi2_i2_t3'", 0.6475357142857144]
["'arithMean_x_acc_off_t2'", 0.6466785714285713]
["'percentiles10_strokespeed_t3'", 0.6465357142857141]
["'stdDevs_x_jerk_off_t8'", 0.6463571428571427]
["'stdDevs_x_acc_off_t8'", 0.6458214285714285]
["'trimMean10_jerk_on_t8'", 0.6449642857142857]
["'trimMean40_x_vel_on_t8'", 0.6448571428571428]
["'moments5_acc_off_t2'", 0.6445714285714287]
["'stdDevs_acc_off_t2'", 0.6442499999999999]
["'rel_NCV_off_t2'", 0.6438571428571429]
["'NCA_off_t3'", 0.6434642857142857]
["'x_renyi3_i2_t3'", 0.6414642857142856]
["'stdDevs_acc_off_t3'", 0.6404285714285715]
["'arithMean_x_jerk_off_t2'", 0.6403214285714285]
["'trimMean20_jerk_on_t8'", 0.6401785714285714]
["'percentiles95_x_jerk_on_t8'", 0.6399642857142859]
["'stdDevs_jerk_off_t3'", 0.6398928571428573]
["'percentiles20_acc_on_t8'", 0.6397500000000004]
["'stdDevs_x_acc_off_t3'", 0.6396785714285713]
["'arithMean_jerk_off_t2'", 0.6389285714285714]
["'stdDevs_x_jerk_off_t3'", 0.6388928571428572]
